destination,destination_type,from_location,state,region,trip_type,transport,season,num_days,budget,accommodation_cost,food_cost,entry_fee,travel_time,rating,total_cost,feasible
Karaikal,Spiritual,Mumbai,Puducherry,South,Family,Train,Summer,8,19708,4000,1125,0,4.0,4.1,41000,0
Kesaria,Heritage,Delhi,Bihar,East,Couple,Car,Summer,5,10212,1700,510,50,11.0,4.1,11100,0
Horsley Hills,Hill Station,Lucknow,Andhra Pradesh,South,Solo,Flight,Monsoon,4,16228,1500,400,50,7.0,4.1,7650,1
Sivasagar,Heritage,Kolkata,Assam,Northeast,Couple,Bike,Winter,10,21939,2380,680,50,16.0,4.3,30650,0
India Gate,Heritage,Delhi,Delhi,North,Friends,Train,Summer,4,8416,4000,1200,0,5.0,4.5,20800,0
Kaluk,Hill Station,Mumbai,Sikkim,Northeast,Senior,Car,Autumn,4,6156,1950,585,0,13.0,4.3,10140,0
Satmaliya Deer Sanctuary,Wildlife,Hyderabad,Dadra & Nagar Haveli,West,Family,Car,Monsoon,10,56401,4000,1125,100,4.0,4.1,51350,1
Aizawl,Hill Station,Pune,Mizoram,Northeast,Friends,Bus,Winter,10,32588,3200,960,0,20.0,4.1,41600,0
Tashiding,Spiritual,Pune,Sikkim,Northeast,Friends,Bus,Spring,8,57622,3000,900,0,13.0,4.3,31200,1
Bomdila,Hill Station,Ahmedabad,Arunachal Pradesh,Northeast,Couple,Bus,Winter,7,36940,2550,680,0,16.0,4.2,22610,1
Balpakram National Park,Wildlife,Jaipur,Meghalaya,Northeast,Family,Bike,Spring,10,62999,3750,1000,200,18.0,4.3,47700,1
Pobitora,Wildlife,Jaipur,Assam,Northeast,Senior,Bus,Spring,8,14311,2340,650,300,14.0,4.3,24220,0
Sultanpur Bird Sanctuary,Wildlife,Ahmedabad,Haryana,North,Friends,Bike,Monsoon,4,16131,3000,800,50,2.0,4.2,15250,1
Gandikota,Heritage,Mumbai,Andhra Pradesh,South,Friends,Bus,Autumn,10,71671,2600,700,50,7.0,4.4,33050,1
Havelock Island,Beach,Mumbai,Andaman & Nicobar,South,Family,Bus,Spring,4,64833,8750,2000,0,14.0,4.8,43000,1
Sasaram,Heritage,Kolkata,Bihar,East,Solo,Bus,Monsoon,8,7667,1100,300,50,10.0,4.0,11250,0
Konkan Coast,Beach,Delhi,Maharashtra,West,Solo,Bus,Autumn,7,28060,2000,600,0,5.0,4.4,18200,1
Horsley Hills,Hill Station,Kolkata,Andhra Pradesh,South,Family,Car,Winter,7,58413,3750,1000,50,7.0,4.1,33300,1
Varanasi,Spiritual,Pune,Uttar Pradesh,North,Couple,Car,Winter,3,4959,2550,680,0,8.0,4.3,9690,0
Manas National Park,Wildlife,Hyderabad,Assam,Northeast,Friends,Flight,Spring,4,20418,5000,1200,400,17.0,4.5,25200,0
Medak Cathedral,Heritage,Lucknow,Telangana,South,Senior,Car,Monsoon,4,11915,1690,520,50,2.0,4.1,8890,1
Wayanad,Wildlife,Mumbai,Kerala,South,Family,Bus,Summer,4,14071,5500,1500,100,8.0,4.5,28100,0
Nalanda,Heritage,Pune,Bihar,East,Friends,Car,Winter,8,41877,2000,700,100,11.0,4.4,21700,1
Statue of Unity,Heritage,Hyderabad,Gujarat,West,Solo,Car,Summer,3,8311,2500,600,350,7.0,4.4,9650,0
Kavaratti,Beach,Hyderabad,Lakshadweep,South,Couple,Car,Summer,2,19666,5950,1360,0,20.0,4.4,14620,1
Bangaram Island,Beach,Ahmedabad,Lakshadweep,South,Friends,Car,Monsoon,3,46752,12000,2400,0,20.0,4.5,43200,1
Ahmedabad,Heritage,Chennai,Gujarat,West,Family,Flight,Winter,3,18645,4500,1375,100,7.0,4.3,17725,1
Lucknow,Heritage,Mumbai,Uttar Pradesh,North,Couple,Flight,Spring,9,32180,3060,935,100,6.0,4.3,36055,0
Namchi,Spiritual,Jaipur,Sikkim,Northeast,Senior,Bus,Winter,3,4395,2210,650,50,12.0,4.3,8630,0
Baratang Island,Nature,Chennai,Andaman & Nicobar,South,Solo,Flight,Spring,4,7982,2000,600,0,14.0,4.4,10400,0
Wayanad,Wildlife,Bangalore,Kerala,South,Family,Flight,Monsoon,2,16026,5500,1500,100,8.0,4.5,14100,1
Mandvi,Beach,Kolkata,Gujarat,West,Senior,Bike,Autumn,2,2505,2600,650,0,8.0,4.2,6500,0
Itanagar,Heritage,Pune,Arunachal Pradesh,Northeast,Friends,Flight,Monsoon,7,57932,3200,900,50,18.0,4.0,28750,1
Hemis National Park,Wildlife,Ahmedabad,Ladakh,North,Friends,Bus,Spring,4,24176,4000,1100,200,24.0,4.5,20600,1
Lachung,Nature,Mumbai,Sikkim,Northeast,Family,Bike,Winter,6,64195,5000,1375,200,18.0,4.6,38450,1
Warangal,Heritage,Lucknow,Telangana,South,Solo,Bus,Winter,6,11483,1200,400,150,3.0,4.2,9750,1
Pobitora,Wildlife,Lucknow,Assam,Northeast,Friends,Train,Monsoon,8,41349,3600,1000,300,14.0,4.3,37100,1
Humayun's Tomb,Heritage,Chennai,Delhi,North,Family,Train,Winter,5,24142,5000,1500,600,5.0,4.5,33100,0
Tezpur,Heritage,Chennai,Assam,Northeast,Couple,Bus,Winter,9,45274,2550,765,50,15.0,4.2,29885,1
Saputara,Hill Station,Kolkata,Gujarat,West,Solo,Car,Summer,8,11124,1500,450,50,6.0,4.2,15650,0
Phek,Nature,Hyderabad,Nagaland,Northeast,Friends,Train,Monsoon,3,22228,2600,800,0,23.0,4.2,10200,1
Mawsynram,Nature,Kolkata,Meghalaya,Northeast,Friends,Car,Spring,8,52529,2800,800,0,17.0,4.4,28800,1
Adilabad,Nature,Hyderabad,Telangana,South,Couple,Flight,Spring,7,39829,2380,680,100,4.0,4.1,21520,1
Daringbadi,Hill Station,Delhi,Odisha,East,Solo,Flight,Autumn,6,23417,1400,400,0,9.0,4.3,10800,1
Cuttack,Heritage,Lucknow,Odisha,East,Family,Bike,Summer,4,25113,4000,1125,50,8.0,4.1,20550,1
Bodh Gaya,Spiritual,Mumbai,Bihar,East,Family,Bus,Winter,2,11567,3000,1000,0,10.0,4.6,8000,1
Varanasi,Spiritual,Bangalore,Uttar Pradesh,North,Family,Bike,Spring,7,12482,3750,1000,0,8.0,4.3,33250,0
Rishikesh,Adventure,Kolkata,Uttarakhand,North,Couple,Train,Monsoon,7,47015,2550,850,0,7.0,4.5,23800,1
Devka Beach Daman,Beach,Bangalore,Daman & Diu,West,Senior,Bike,Spring,10,27784,2340,650,0,4.0,4.1,29900,0
Sundarbans,Wildlife,Mumbai,West Bengal,East,Senior,Flight,Winter,10,45483,3250,845,500,5.0,4.5,41450,1
Rose Garden Chandigarh,Nature,Chennai,Chandigarh,North,Senior,Bus,Monsoon,2,12141,2600,780,30,5.0,4.3,6790,1
Mahabubnagar,Nature,Ahmedabad,Telangana,South,Family,Bus,Spring,7,18227,3250,1000,50,3.0,4.0,29800,0
Cherrapunjee,Nature,Kolkata,Meghalaya,Northeast,Family,Train,Spring,4,35568,4000,1200,50,17.0,4.6,20850,1
Port Blair,Heritage,Chennai,Andaman & Nicobar,South,Solo,Bus,Spring,2,13631,2500,700,50,14.0,4.2,6450,1
Dumboor Lake,Nature,Ahmedabad,Tripura,Northeast,Friends,Train,Autumn,8,38161,2600,800,0,23.0,4.3,27200,1
Bomdila,Hill Station,Lucknow,Arunachal Pradesh,Northeast,Senior,Car,Monsoon,4,10927,1950,520,0,16.0,4.2,9880,1
Thekkady,Wildlife,Kolkata,Kerala,South,Solo,Flight,Summer,7,36165,2500,650,300,7.0,4.5,22350,1
Zanskar Valley,Adventure,Bangalore,Ladakh,North,Couple,Train,Summer,6,37539,3060,850,0,28.0,4.8,23460,1
Pinjore Gardens Chandigarh,Heritage,Lucknow,Chandigarh,North,Family,Car,Spring,10,116263,4500,1375,30,5.0,4.3,58780,1
Jaipur,Heritage,Pune,Rajasthan,North,Solo,Bike,Spring,2,10326,1800,500,300,6.0,4.4,4900,1
Yusmarg,Nature,Ahmedabad,Jammu & Kashmir,North,Family,Car,Monsoon,6,75274,5000,1375,0,13.0,4.4,38250,1
Saranda Forest,Wildlife,Lucknow,Jharkhand,East,Couple,Flight,Winter,10,39596,2380,680,100,8.0,4.2,30700,1
Dawki,Nature,Chennai,Meghalaya,Northeast,Friends,Train,Monsoon,10,77185,2800,900,0,17.0,4.5,37000,1
Tirupati,Spiritual,Mumbai,Andhra Pradesh,South,Friends,Bus,Summer,7,43286,3000,800,300,6.0,4.5,26900,1
Lonavala,Hill Station,Ahmedabad,Maharashtra,West,Family,Bike,Monsoon,4,16343,5000,1500,0,3.0,4.2,26000,0
Karaikal,Spiritual,Pune,Puducherry,South,Senior,Car,Autumn,9,14968,2080,585,0,4.0,4.1,23985,0
Varanasi,Spiritual,Bangalore,Uttar Pradesh,North,Friends,Bike,Autumn,4,22929,3000,800,0,8.0,4.3,15200,1
Lachung,Nature,Bangalore,Sikkim,Northeast,Senior,Train,Monsoon,2,8990,2600,715,200,18.0,4.6,6830,1
Wayanad,Wildlife,Mumbai,Kerala,South,Senior,Bus,Autumn,8,42599,2860,780,100,8.0,4.5,29220,1
Darjeeling,Hill Station,Pune,West Bengal,East,Couple,Bike,Spring,5,47566,3400,935,100,12.0,4.4,21775,1
Spiti Valley,Adventure,Kolkata,Himachal Pradesh,North,Senior,Bus,Autumn,7,26718,2340,650,100,18.0,4.7,21030,1
Zunheboto,Nature,Chennai,Nagaland,Northeast,Friends,Bus,Monsoon,5,8009,2600,800,0,23.0,4.1,17000,0
Jagdalpur,Heritage,Ahmedabad,Chhattisgarh,Central,Solo,Bus,Autumn,9,19771,1000,350,80,13.0,4.1,12230,1
Lachung,Nature,Lucknow,Sikkim,Northeast,Couple,Bus,Summer,4,7276,3400,935,200,18.0,4.6,17540,0
Bishnupur Manipur,Heritage,Lucknow,Manipur,Northeast,Couple,Car,Autumn,7,14564,2210,680,50,21.0,4.1,20280,0
Somnath,Spiritual,Lucknow,Gujarat,West,Solo,Flight,Monsoon,2,5522,1500,400,0,6.0,4.6,3800,1
Neil Island,Beach,Ahmedabad,Andaman & Nicobar,South,Family,Bus,Monsoon,4,49596,6250,1750,0,14.0,4.3,32000,1
Double Decker Root Bridge,Nature,Jaipur,Meghalaya,Northeast,Couple,Train,Summer,4,12991,2380,680,0,17.0,4.8,12240,1
Dachigam National Park,Wildlife,Delhi,Jammu & Kashmir,North,Couple,Flight,Spring,9,40107,4250,1105,200,12.0,4.4,48395,0
Dawki,Nature,Delhi,Meghalaya,Northeast,Couple,Bike,Winter,2,6878,2380,765,0,17.0,4.5,6290,1
Kanyakumari,Spiritual,Bangalore,Tamil Nadu,South,Friends,Flight,Summer,4,27671,3000,900,100,10.0,4.4,15700,1
Dirang,Hill Station,Ahmedabad,Arunachal Pradesh,Northeast,Couple,Train,Autumn,9,12101,2380,680,0,18.0,4.3,27540,0
Panipat,Heritage,Lucknow,Haryana,North,Couple,Car,Autumn,2,9175,2210,680,50,2.0,4.0,5830,1
Kurukshetra,Spiritual,Ahmedabad,Haryana,North,Friends,Bike,Summer,6,23952,2400,760,0,4.0,4.2,18960,1
Hazaribagh,Wildlife,Lucknow,Jharkhand,East,Family,Car,Summer,2,6400,3500,1000,100,5.0,4.1,9100,0
Bitra Island,Nature,Pune,Lakshadweep,South,Solo,Bus,Winter,5,19586,1500,500,0,20.0,4.2,10000,1
Ghoghla Beach,Beach,Pune,Daman & Diu,West,Senior,Car,Winter,5,28636,2600,715,0,5.0,4.2,16575,1
Agra,Heritage,Lucknow,Uttar Pradesh,North,Family,Train,Summer,9,122041,5000,1250,600,4.0,4.5,56850,1
Patiala,Heritage,Mumbai,Punjab,North,Family,Bus,Summer,10,26612,3750,1125,50,4.0,4.2,48800,0
Sri Aurobindo Ashram,Spiritual,Bangalore,Puducherry,South,Solo,Car,Winter,7,32864,2000,600,0,3.0,4.6,18200,1
Mudumalai,Wildlife,Hyderabad,Tamil Nadu,South,Family,Train,Autumn,4,45789,6250,1625,300,7.0,4.4,31800,1
Tezpur,Heritage,Lucknow,Assam,Northeast,Family,Bike,Autumn,10,93719,3750,1125,50,15.0,4.2,48800,1
Chhatbir Zoo,Wildlife,Chennai,Chandigarh,North,Friends,Train,Summer,2,14418,3600,1000,100,5.0,4.1,9300,1
Vaishali,Heritage,Mumbai,Bihar,East,Solo,Bike,Monsoon,6,3683,1200,350,50,10.0,4.2,9350,0
Moreh,Heritage,Lucknow,Manipur,Northeast,Friends,Flight,Summer,6,21630,2400,700,0,22.0,3.9,18600,1
Nashik,Spiritual,Ahmedabad,Maharashtra,West,Senior,Train,Autumn,4,11107,1950,585,0,4.0,4.2,10140,1
Mawlynnong,Nature,Ahmedabad,Meghalaya,Northeast,Family,Car,Autumn,5,15716,3500,1000,0,17.0,4.5,22500,0
Munnar,Nature,Bangalore,Kerala,South,Couple,Train,Summer,4,27863,4250,1020,100,6.0,4.5,21180,1
Phawngpui Blue Mountain,Hill Station,Jaipur,Mizoram,Northeast,Friends,Bus,Autumn,9,46745,2800,800,100,26.0,4.5,32500,1
Anandpur Sahib,Spiritual,Kolkata,Punjab,North,Senior,Car,Winter,6,9940,1690,520,0,7.0,4.5,13260,0
Palitana,Spiritual,Bangalore,Gujarat,West,Senior,Flight,Autumn,7,8763,1690,455,0,6.0,4.5,15015,0
Diglipur,Adventure,Bangalore,Andaman & Nicobar,South,Family,Flight,Winter,6,21864,5000,1500,0,16.0,4.4,39000,0
Auroville,Spiritual,Ahmedabad,Puducherry,South,Couple,Bike,Summer,2,16766,4250,1190,0,3.0,4.5,10880,1
Mokokchung,Heritage,Pune,Nagaland,Northeast,Family,Bike,Autumn,9,69202,3500,1000,0,22.0,4.2,40500,1
Adilabad,Nature,Chennai,Telangana,South,Solo,Bus,Monsoon,3,11598,1400,400,100,4.0,4.1,5500,1
Varkala,Beach,Hyderabad,Kerala,South,Friends,Bike,Monsoon,4,8596,4000,1200,0,7.0,4.1,20800,0
Mawsynram,Nature,Hyderabad,Meghalaya,Northeast,Family,Bike,Winter,6,21051,3500,1000,0,17.0,4.4,27000,0
Kodaikanal,Hill Station,Delhi,Tamil Nadu,South,Family,Bike,Winter,5,39756,5000,1375,50,7.0,4.3,31925,1
Tso Moriri,Nature,Pune,Ladakh,North,Couple,Flight,Winter,8,70657,3400,935,0,24.0,4.7,34680,1
Alibaug,Beach,Lucknow,Maharashtra,West,Family,Flight,Monsoon,7,20643,6250,1750,50,3.0,3.8,56050,0
Orchha,Heritage,Lucknow,Madhya Pradesh,Central,Couple,Bus,Monsoon,4,8909,2550,816,250,9.0,4.4,13714,0
Panaji,Heritage,Kolkata,Goa,West,Senior,Car,Summer,9,81071,3250,910,50,4.0,4.3,37490,1
Kovalam,Beach,Mumbai,Kerala,South,Friends,Train,Summer,10,50851,5000,1300,0,11.0,4.4,63000,0
Nubra Valley,Adventure,Jaipur,Ladakh,North,Friends,Flight,Autumn,8,80942,4000,1100,0,24.0,4.7,40800,1
Ludhiana,City,Delhi,Punjab,North,Friends,Train,Winter,2,5128,3200,1000,50,5.0,3.9,8450,0
Murlen National Park,Wildlife,Mumbai,Mizoram,Northeast,Family,Flight,Spring,5,46361,3500,1000,200,26.0,4.3,22700,1
Araku Valley,Nature,Hyderabad,Andhra Pradesh,South,Friends,Car,Spring,10,78209,3200,900,50,9.0,4.4,41050,1
Statue of Unity,Heritage,Lucknow,Gujarat,West,Friends,Flight,Autumn,10,29707,5000,1200,350,7.0,4.4,62350,0
Tam Dil Lake,Nature,Hyderabad,Mizoram,Northeast,Solo,Flight,Monsoon,2,1849,1300,400,50,25.0,4.2,3450,0
Vaishno Devi,Spiritual,Chennai,Jammu & Kashmir,North,Couple,Car,Spring,7,12367,3400,935,0,11.0,4.8,30345,0
Along,Adventure,Pune,Arunachal Pradesh,Northeast,Family,Bike,Monsoon,10,68691,3500,1000,0,22.0,4.1,45000,1
Chilika Lake,Nature,Kolkata,Odisha,East,Couple,Flight,Autumn,7,18075,3060,850,200,9.0,4.5,27570,0
Silvassa,Nature,Kolkata,Dadra & Nagar Haveli,West,Friends,Train,Summer,6,24642,3600,1000,0,4.0,4.0,27600,0
Kaluk,Hill Station,Bangalore,Sikkim,Northeast,Solo,Bus,Autumn,9,28487,1500,450,0,13.0,4.3,17550,1
Zuluk,Adventure,Jaipur,Sikkim,Northeast,Solo,Bike,Autumn,6,18818,1600,450,0,13.0,4.5,12300,1
Jodhpur,Heritage,Ahmedabad,Rajasthan,North,Senior,Car,Autumn,10,58084,2470,715,300,7.0,4.4,32150,1
Amaravati,Heritage,Kolkata,Andhra Pradesh,South,Friends,Bus,Winter,4,27958,2800,800,100,5.0,4.2,14500,1
Vagator,Beach,Delhi,Goa,West,Senior,Train,Autumn,3,8465,3250,910,0,4.0,4.3,12480,0
Bhaderwah,Hill Station,Lucknow,Jammu & Kashmir,North,Solo,Train,Autumn,2,5318,1800,500,0,12.0,4.4,4600,1
Hemis National Park,Wildlife,Jaipur,Ladakh,North,Couple,Bus,Winter,6,33436,3400,935,200,24.0,4.5,26210,1
Bikaner,Desert,Kolkata,Rajasthan,North,Friends,Bike,Spring,6,56927,3600,1000,200,8.0,4.3,27800,1
Badami,Heritage,Ahmedabad,Karnataka,South,Solo,Bike,Spring,9,25647,1200,400,200,7.0,4.3,14600,1
Hornbill Festival Kisama,Heritage,Chennai,Nagaland,Northeast,Senior,Car,Autumn,4,13641,1950,585,200,22.0,4.7,10340,1
Lotus Temple,Spiritual,Mumbai,Delhi,North,Couple,Train,Winter,5,32177,3400,1020,0,5.0,4.5,22100,1
Gir National Park,Wildlife,Hyderabad,Gujarat,West,Family,Train,Monsoon,9,139300,6250,1500,600,7.0,4.6,70350,1
Ariyankuppam Mangroves,Nature,Jaipur,Puducherry,South,Family,Flight,Monsoon,4,12612,4500,1375,50,3.0,4.2,23550,0
Betla National Park,Wildlife,Chennai,Jharkhand,East,Senior,Bike,Spring,3,9042,2080,585,200,6.0,4.3,8195,1
Sundarbans,Wildlife,Lucknow,West Bengal,East,Friends,Bike,Winter,8,53982,5000,1300,500,5.0,4.5,50900,1
Pilak,Heritage,Mumbai,Tripura,Northeast,Friends,Flight,Autumn,9,33012,2400,700,50,24.0,4.2,27950,1
Sepahijala Wildlife Sanctuary,Wildlife,Pune,Tripura,Northeast,Solo,Bus,Autumn,8,9165,1300,400,100,22.0,4.2,13700,0
Pawapuri,Spiritual,Pune,Bihar,East,Family,Bike,Autumn,2,15018,2750,750,0,11.0,4.3,7000,1
Giridih,Spiritual,Mumbai,Jharkhand,East,Couple,Train,Autumn,8,12454,2040,595,50,5.0,4.0,21130,0
Nohkalikai Falls,Nature,Pune,Meghalaya,Northeast,Friends,Flight,Monsoon,2,10123,3000,800,50,17.0,4.7,7650,1
Lachung,Nature,Bangalore,Sikkim,Northeast,Couple,Bike,Spring,7,36213,3400,935,200,18.0,4.6,30545,1
Hazaribagh,Wildlife,Ahmedabad,Jharkhand,East,Solo,Car,Winter,3,2756,1400,400,100,5.0,4.1,5500,0
Mainpat,Hill Station,Delhi,Chhattisgarh,Central,Couple,Bus,Summer,9,28720,2210,595,0,10.0,4.2,25245,1
Kedarnath,Spiritual,Kolkata,Uttarakhand,North,Couple,Car,Monsoon,5,23894,2550,765,0,13.0,4.7,16575,1
Imphal,Heritage,Hyderabad,Manipur,Northeast,Friends,Car,Autumn,8,62982,3000,900,100,18.0,4.2,31300,1
Sonamarg,Nature,Lucknow,Jammu & Kashmir,North,Family,Flight,Spring,5,31943,6250,1625,0,13.0,4.6,39375,0
Lucknow,Heritage,Bangalore,Uttar Pradesh,North,Friends,Car,Winter,5,32175,3600,1100,100,6.0,4.3,23600,1
Mahabubnagar,Nature,Ahmedabad,Telangana,South,Family,Flight,Autumn,9,60788,3250,1000,50,3.0,4.0,38300,1
Kerala Backwaters,Nature,Ahmedabad,Kerala,South,Couple,Train,Winter,3,37615,5100,1190,50,10.0,4.7,18920,1
Mawsynram,Nature,Delhi,Meghalaya,Northeast,Solo,Bike,Autumn,8,6825,1400,400,0,17.0,4.4,14400,0
Valley of Flowers,Nature,Bangalore,Uttarakhand,North,Solo,Bus,Autumn,7,8688,1800,500,150,12.0,4.8,16250,0
Vaishno Devi,Spiritual,Lucknow,Jammu & Kashmir,North,Solo,Flight,Monsoon,9,37817,2000,550,0,11.0,4.8,22950,1
Pahalgam,Hill Station,Jaipur,Jammu & Kashmir,North,Friends,Car,Spring,9,50652,5000,1300,0,13.0,4.5,56700,0
Damanganga River,Nature,Delhi,Daman & Diu,West,Couple,Train,Winter,2,5838,3060,850,0,4.0,4.0,7820,0
Kaziranga,Wildlife,Bangalore,Assam,Northeast,Friends,Car,Summer,6,41878,6000,1400,500,15.0,4.6,44900,0
Amini Island,Beach,Hyderabad,Lakshadweep,South,Family,Train,Spring,3,34416,7500,1875,0,20.0,4.3,28125,1
Naida Caves,Nature,Mumbai,Daman & Diu,West,Solo,Flight,Monsoon,2,8982,2000,550,0,5.0,4.3,5100,1
Lonavala,Hill Station,Kolkata,Maharashtra,West,Couple,Car,Winter,4,36828,3400,1020,0,3.0,4.2,17680,1
Netarhat,Hill Station,Bangalore,Jharkhand,East,Solo,Car,Autumn,10,25419,1200,400,0,9.0,4.2,16000,1
Netarhat,Hill Station,Jaipur,Jharkhand,East,Family,Flight,Summer,2,10798,3000,1000,0,9.0,4.3,8000,1
Shantiniketan,Heritage,Pune,West Bengal,East,Couple,Flight,Monsoon,4,15208,2720,765,50,4.0,4.4,13990,1
Yercaud,Hill Station,Lucknow,Tamil Nadu,South,Senior,Flight,Spring,8,46894,2080,624,50,7.0,4.1,21682,1
Ross Island,Heritage,Kolkata,Andaman & Nicobar,South,Couple,Bus,Winter,6,67742,4250,1190,150,14.0,4.3,32790,1
Shimla,Hill Station,Delhi,Himachal Pradesh,North,Friends,Flight,Autumn,8,94376,4400,1160,50,10.0,4.4,44530,1
Itanagar,Heritage,Mumbai,Arunachal Pradesh,Northeast,Family,Car,Spring,8,71407,4000,1125,50,18.0,4.0,41050,1
Wayanad,Wildlife,Kolkata,Kerala,South,Solo,Bike,Autumn,5,19099,2200,600,100,8.0,4.5,14100,1
Devka Beach Daman,Beach,Ahmedabad,Daman & Diu,West,Senior,Bus,Spring,4,6801,2340,650,0,4.0,4.1,11960,0
Fort Kochi,Heritage,Pune,Kerala,South,Senior,Bus,Autumn,5,11881,3250,910,50,5.0,4.5,20850,0
Arambol,Beach,Lucknow,Goa,West,Friends,Bus,Monsoon,6,47623,4000,1200,0,5.0,4.0,31200,1
Gulmarg,Adventure,Chennai,Jammu & Kashmir,North,Senior,Train,Monsoon,3,8474,4550,1040,500,14.0,4.7,17270,0
Wokha,Nature,Chennai,Nagaland,Northeast,Couple,Car,Spring,4,6224,2210,680,0,22.0,4.1,11560,0
Jodhpur,Heritage,Kolkata,Rajasthan,North,Couple,Flight,Winter,2,16276,3230,935,300,7.0,4.4,8630,1
Kalpeni Island,Beach,Mumbai,Lakshadweep,South,Friends,Bus,Spring,10,171692,7000,1600,0,20.0,4.5,86000,1
Ludhiana,City,Lucknow,Punjab,North,Family,Train,Monsoon,8,26316,4000,1250,50,5.0,3.9,42050,0
Bangaram Island,Beach,Bangalore,Lakshadweep,South,Couple,Bike,Winter,8,47585,10200,2040,0,20.0,4.8,97920,0
Vikramshila,Heritage,Jaipur,Bihar,East,Couple,Flight,Winter,7,22717,1870,510,50,13.0,4.1,16710,1
Mahabalipuram,Heritage,Pune,Tamil Nadu,South,Friends,Bus,Summer,3,19045,3600,1000,400,6.0,4.5,14200,1
Kapurthala,Heritage,Jaipur,Haryana,North,Friends,Train,Spring,2,11389,2600,800,50,3.0,4.1,6850,1
Tribal Museum DNH,Heritage,Chennai,Dadra & Nagar Haveli,West,Friends,Car,Autumn,2,12706,3000,900,50,4.0,4.0,7850,1
Pangong Lake,Nature,Jaipur,Ladakh,North,Solo,Train,Winter,2,2732,2500,600,0,24.0,4.8,6200,0
Dudhwa National Park,Wildlife,Pune,Uttar Pradesh,North,Couple,Train,Summer,2,13822,3400,935,300,8.0,4.4,8970,1
Bekal,Heritage,Bangalore,Kerala,South,Friends,Train,Autumn,6,55885,4000,1100,50,8.0,4.3,30650,1
Tezpur,Heritage,Kolkata,Assam,Northeast,Friends,Bike,Autumn,10,72401,3000,900,50,15.0,4.2,39050,1
Munnar,Nature,Hyderabad,Kerala,South,Solo,Train,Autumn,6,12935,2500,600,100,6.0,4.5,18700,0
Manali,Hill Station,Chennai,Himachal Pradesh,North,Senior,Car,Summer,10,29266,2600,780,100,14.0,4.7,33900,0
Sohna,Nature,Kolkata,Haryana,North,Friends,Bus,Summer,3,9017,2800,800,50,2.0,4.0,10850,0
Valley of Flowers,Nature,Delhi,Uttarakhand,North,Friends,Flight,Spring,5,16653,3600,1000,150,12.0,4.8,23150,0
Warangal,Heritage,Jaipur,Telangana,South,Friends,Bus,Monsoon,6,33367,2400,800,150,3.0,4.2,19350,1
Tura,Nature,Bangalore,Meghalaya,Northeast,Senior,Bike,Summer,2,2877,1820,520,0,18.0,4.1,4680,0
Daman,Heritage,Lucknow,Daman & Diu,West,Couple,Flight,Autumn,2,6418,3400,935,50,4.0,4.1,8720,0
Serenity Beach,Beach,Hyderabad,Puducherry,South,Solo,Bus,Summer,2,6014,2000,600,0,3.0,4.3,5200,1
Nagoa Beach Diu,Beach,Ahmedabad,Daman & Diu,West,Friends,Bike,Spring,2,18523,5000,1300,0,5.0,4.4,12600,1
Manali,Hill Station,Kolkata,Himachal Pradesh,North,Couple,Car,Autumn,10,25556,3400,1020,100,14.0,4.6,44300,0
Sivasagar,Heritage,Lucknow,Assam,Northeast,Senior,Bike,Winter,10,46204,1820,520,50,16.0,4.3,23450,1
Calangute Beach,Beach,Bangalore,Goa,West,Senior,Bike,Monsoon,2,21277,4550,1170,0,4.0,4.1,11440,1
Balpakram National Park,Wildlife,Bangalore,Meghalaya,Northeast,Couple,Bike,Spring,10,46185,2550,680,200,18.0,4.3,32500,1
Kedarnath,Spiritual,Kolkata,Uttarakhand,North,Family,Car,Autumn,7,38077,3750,1125,0,13.0,4.7,34125,1
Thekkady,Wildlife,Jaipur,Kerala,South,Family,Bus,Winter,6,78350,6250,1625,300,7.0,4.5,47550,1
Chopta,Adventure,Bangalore,Uttarakhand,North,Family,Car,Winter,4,21289,3750,1125,0,8.0,4.5,19500,1
Capitol Complex,Heritage,Kolkata,Chandigarh,North,Friends,Bike,Summer,9,40362,4000,1200,200,5.0,4.4,47000,0
Shimla,Hill Station,Kolkata,Himachal Pradesh,North,Family,Bike,Monsoon,8,114982,5500,1450,50,10.0,4.4,55650,1
Pondicherry,Heritage,Mumbai,Puducherry,South,Couple,Bike,Autumn,4,26692,3400,1020,0,6.0,4.3,17680,1
Belur Halebidu,Heritage,Ahmedabad,Karnataka,South,Senior,Car,Spring,8,17206,1820,520,200,6.0,4.5,18920,0
Balpakram National Park,Wildlife,Kolkata,Meghalaya,Northeast,Family,Train,Monsoon,7,40997,3750,1000,200,18.0,4.3,33450,1
Hornbill Festival Kisama,Heritage,Kolkata,Nagaland,Northeast,Senior,Train,Summer,6,30972,1950,585,200,22.0,4.7,15410,1
Red Fort,Heritage,Ahmedabad,Delhi,North,Solo,Train,Summer,10,21243,2500,700,500,5.0,4.5,32500,0
Mussoorie,Hill Station,Kolkata,Uttarakhand,North,Couple,Train,Autumn,6,13697,3740,986,0,7.0,4.3,28356,0
Sambalpur,Heritage,Jaipur,Odisha,East,Senior,Car,Spring,2,2127,1950,585,50,9.0,4.2,5120,0
Bishnupur Bengal,Heritage,Chennai,West Bengal,East,Friends,Flight,Summer,6,15068,2800,800,200,4.0,4.4,21800,0
